Product_URL,Product_Name, Product_Price ,Rating,Number_of_reviews,Description,ASIN,Product Description,Manufacturer
https://amzn.eu/d/6GQhyMY,FUR JADEN , ? 799 ,4.4,71,N/A,B0BYSZ3TKW,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.

",FUR JADEN
https://amzn.eu/d/bzOpjcE,TUFAOL ," ? 1,797 ",5,1,N/A,B0C9W7D7DL,"ERGONOMIC AND LIGHTWEIGHT: 62 x 32 x 22 CM, The breathable grooved carrying system keeps your back comfortable and relaxed during travel. Air flow design Breathable 3D mesh on the back fabric can reduce sweating for extra comfort. Our backpacks are designed so that you can lighten the burden on your back during travelling.",N/A
https://amzn.eu/d/b42j3pe,American Tourister," ? 1,199 ",4,"8,188",N/A,B07CJCGM1M,N/A,Samsonite
https://amzn.eu/d/5M843Nv,Wesley , ? 550 ,4.3,"1,451",N/A,B084JGJ8PF,"Laptop Compartment, Waterproof, Lightweight, Ergonomic Design, Padded Strap",Wesley
https://amzn.eu/d/6Rl9w6H,Skybags, ? 669 ,4.1,501,N/A,B08Z1HHHTD,"Ideal for a college student who does not carry a lot of books or laptop to college. Very stylish, slim and feature loaded Backpack",VIP Industries Ltd
https://amzn.eu/d/d8Aw04s,Half Moon, ? 849 ,3.9,461,N/A,B09VCLZ3K4,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",Amazing Bags
https://amzn.eu/d/f2zHHZT,American Tourister," ? 1,199 ",4.3,98,N/A,B0BTD4S4XF,"A backpack isn’t just a bag. It’s a cache, a case, a mobile base of sorts. And it is a reflection of the care you’ve put into selecting the ideal loadout of items to keep on you. Introducing Valex, a modern everyday backpacks collections are available in a variety of nice looking colours to express your true self",EXPERTS
https://amzn.eu/d/gsJcdUu,Wesley Spartan, ? 749 ,4.1,249,N/A,B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,Wesley
https://amzn.eu/d/5tlzIy0,Half Moon, ? 649 ,3.9,"1,586",N/A,B085MHDJ93,HALF MOON,Amazing Bags
https://amzn.eu/d/6xoja8A,Gear , ? 987 ,4.4,786,N/A,B07G4F6XFH,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",Gear Merchandise PVT LTD
https://amzn.eu/d/8dgiq7d,POLICE ," ? 1,399 ",4.1,"1,087",N/A,B09CQ5T3LN,Backpack,N/A
https://amzn.eu/d/jlyYUnw,Safari," ? 3,499 ",5,0,N/A,B097JLZBK3,"For the new age professional, the Safari Sage is the answer to all backpacking needs. The dedicated laptop and tablet sleeves and the Multi Utility Organiser ensures that there is a place for all your essentials. The water resistant and highly durable premium fabric ensures that all your belongings are safe, irrespective of the conditions. The Smart Sleeve allows you to slide your backpack on your luggage for a seamless travel experience. The USB Charging Port keeps you connected always. Its handy Sunglasses Pouch makes sure you never miss a chance to impress!",Safari
https://amzn.eu/d/gzGejIk,Safari, ? 248 ,4,"1,824",N/A,B07Q7CNPMV,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment.",Safari Industries (India) Ltd
https://amzn.eu/d/8cjtxSD,TRUE HUMAN, ? 689 ,3.8,319,N/A,B09QJ7ZF2Y,EMPEROR,N/A
https://amzn.eu/d/7xMwDHU,ADISA , ? 549 ,3.9,111,"Light weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.",B09TPX22NF,ADISA,ADISA
https://amzn.eu/d/48YvjaI,NORTH ZONE, ? 499 ,4,70,N/A,B0BS6QQZYN,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",SHABA BAGS
https://amzn.eu/d/aG20qJx,Lenovo , ? 839 ,4.3,309,N/A,B08R7RPVJF,N/A,Lenovo
https://amzn.eu/d/74opSOF,Gear ," ? 1,125 ",4.4,845,N/A,B075MK4TXP,N/A,Gear Merchandise PVT LTD
https://amzn.eu/d/cIlal2w,FUR JADEN, ? 679 ,4,"1,320",N/A,B09VTDMRY7,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",FUR JADEN
https://amzn.eu/d/c82V49c,Sfane , ? 387 ,4.3,726,N/A,B07XXFB9CZ,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India.",Sfane
https://amzn.eu/d/hXk3so0,EUME ," ? 2,499 ",4.4,7,N/A,B0B4JQSMD5,QUICK ACCESS TO MUST-HAVES,EUME Lifetsyle Pvt Ltd
https://amzn.eu/d/5DfA9eY,uppercase ," ? 1,200 ",4.3,11,N/A,B0B9T4YDPX,N/A,Acefour Accessories Pvt. Ltd.
